Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/01/2025,05/01/2025,AUTOMATIC PAYMENT - THANK,,Payment,260.59,
04/30/2025,05/01/2025,SQ *NASSAU STREET,Groceries,Sale,-7.01,
04/29/2025,04/30/2025,Whole Foods Market ONE,Groceries,Sale,-67.86,
04/28/2025,04/29/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/27/2025,04/29/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/27/2025,04/29/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/26/2025,04/28/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/26/2025,04/28/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/27/2025,04/27/2025,Whole Foods Market ONE,Groceries,Sale,-22.30,
04/25/2025,04/27/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/25/2025,04/27/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/23/2025,04/23/2025,STUBHUB INC,Entertainment,Sale,-286.02,
04/21/2025,04/23/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/22/2025,04/23/2025,Whole Foods Market ONE,Groceries,Sale,-31.49,
04/21/2025,04/23/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/21/2025,04/22/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/20/2025,04/21/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/20/2025,04/21/2025,AMAZON PRIME*2E0UT0NW3,Bills & Utilities,Sale,-16.45,
04/20/2025,04/21/2025,Whole Foods LNX 10838,Groceries,Sale,-18.43,
04/20/2025,04/21/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/20/2025,04/21/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/17/2025,04/20/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/19/2025,04/20/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/17/2025,04/20/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/18/2025,04/20/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/19/2025,04/20/2025,SQ *NASSAU STREET,Groceries,Sale,-7.01,
04/19/2025,04/20/2025,GRUBHUB*CHIPOTLE,Food & Drink,Sale,-6.39,
04/19/2025,04/20/2025,OURARING INC.,Shopping,Sale,-5.99,
04/16/2025,04/18/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
04/17/2025,04/18/2025,APPLE.COM/BILL,Shopping,Sale,-9.99,
04/16/2025,04/18/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
