id,month_year,month,year,total,investment_total,total_minus_invest,Payment,Pay,Rent,Car,Insurance,Acorns,Wealthfront,Robinhood,Schwab,Utilities,Gas,Recreation,Food,Groceries,Travel,Shopping,Venmo,Subscriptions,Amazon,Misc
39,January 2025,January,2025,8877.94,1730.05,2451.98,1730.05,8877.94,2451.98,0.0,170.31,50.7,-10000.0,3600.0,7500.0,0.0,40.0,0.5,736.9,464.18,1195.45,829.76,0.0,27.98,16.41,0.0
38,February 2025,February,2025,18221.2,541.72,7610.0,541.72,18221.2,7610.0,0.0,0.0,150.64,20000.0,1200.0,0.0,46.52,0.0,0.0,2198.0,564.54,281.58,1169.48,2209.34,240.26,32.82,-2753.48
43,March 2025,March,2025,17257.88,5687.34,4810.0,5687.34,17257.88,4810.0,596.0,0.0,98.2,-12000.0,1200.0,0.0,-46.52,125.66,0.0,758.02,299.82,2603.26,1671.22,445.8,55.96,32.82,-46.52
57,April 2025,April,2025,16239.4,171.32,4810.0,171.32,16239.4,4810.0,0.0,178.96,106.8,-20000.0,7500.0,0.0,222.94,12.38,0.0,1506.8,743.56,1898.56,995.16,0.0,55.96,32.9,13202.94
56,May 2025,May,2025,0.0,4366.1,4810.0,4366.1,0.0,4810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,January 2024,January,2024,7652.21,651.99,1260.0,651.99,7652.21,1260.0,0.0,152.85,362.2,2100.0,1125.0,0.0,0.0,401.02,0.0,1909.08,152.52,3988.11,544.43,159.0,23.98,16.41,0.0
54,February 2024,February,2024,5075.37,2839.41,1260.0,2839.41,5075.37,1260.0,0.0,152.85,215.0,0.0,525.0,0.0,0.0,246.47,0.0,564.71,159.28,-1380.96,632.47,-925.03,118.98,16.41,0.0
53,March 2024,March,2024,4943.94,4067.43,1260.0,4067.43,4943.94,1260.0,139.06,152.85,229.2,0.0,675.0,0.0,0.0,374.06,0.0,924.98,113.24,141.62,432.89,138.72,23.98,16.41,-769.0
52,April 2024,April,2024,4943.93,818.01,1260.0,818.01,4943.93,1260.0,0.0,152.83,337.2,0.0,1125.0,2013.0,0.0,483.95,0.0,659.71,226.94,2.0,33.64,1252.21,23.98,16.41,2.0
51,May 2024,May,2024,7176.59,850.07,2678.0,850.07,7176.59,2678.0,344.0,160.67,95.98,0.0,435.0,0.0,0.0,70.0,-45.0,521.58,21.56,0.0,936.65,-1986.79,23.98,16.41,0.0
50,June 2024,June,2024,5055.24,399.8,0.0,399.8,5055.24,0.0,0.0,19.71,74.16,0.0,240.0,0.0,0.0,0.0,0.0,760.62,485.52,258.23,708.47,287.64,23.98,16.41,0.0
